Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
The Creator,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.",Gareth Edwards,"Chris Weitz,Gareth Edwards","Action,Adventure,Drama",PG-13,2023.0,133.0,6.9,79.0,80.0,40.775,104.181,10.01.2023,14.08,-39.225
A Haunting in Venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Kenneth Branagh,"Michael Green,Agatha Christie","Crime,Drama,Horror",PG-13,2023.0,103.0,6.5,72.0,60.0,42.471,122.032,09.17.2023,14.28,-17.529000000000003
No Hard Feelings,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,"Gene Stupnitsky,John Phillips","Comedy,Romance",R,2023.0,103.0,6.4,111.0,45.0,50.452,87.247,06.25.2023,15.003,5.451999999999998
National Lampoon's Christmas Vacation,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,John Hughes,Comedy,PG-13,1989.0,97.0,7.5,208.0,28.0,74.516,74.534,12.03.1989,11.75,46.516000000000005
"Planes, Trains & Automobiles","A Chicago advertising man must struggle to travel home from New York for Thanksgiving, with a lovable oaf of a shower-curtain-ring salesman as his only companion.",John Hughes,John Hughes,"Comedy,Drama",R,1987.0,93.0,7.6,156.0,15.0,49.53,49.53,11.29.1987,7.009,34.53
X,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,Ti West,"Horror,Mystery,Thriller",R,2022.0,105.0,6.5,154.0,1.0,11.765,14.741,03.20.2022,4.275,10.765
Next Goal Wins,"The story of the infamously terrible American Samoa soccer team, known for a brutal 2001 FIFA match they lost 31-0.",Taika Waititi,"Taika Waititi,Iain Morris","Comedy,Drama,Sport",PG-13,2023.0,104.0,6.5,2.5,14.0,6.088,6.088,11.19.2023,2.5,-7.912
Anatomy of a Fall,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness.",Justine Triet,"Arthur Harari,Justine Triet","Crime,Drama,Thriller",R,2023.0,151.0,7.9,17.0,6.2,3.367,18.221,10.15.2023,0.118,-2.833
Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou,Michael Philippou","Bill Hinzman,Daley Pearson,Danny Philippou","Horror,Thriller",R,2022.0,95.0,7.1,106.0,4.5,48.299,91.937,07.30.2023,10.432,43.799
Dumb Money,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.,Craig Gillespie,"Rebecca Angelo,Lauren Schuker Blum,Ben Mezrich","Biography,Comedy,Drama",R,2023.0,105.0,6.9,18.0,30.0,13.925,20.213,09.17.2023,0.221,-16.075
Saw X,A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,Kevin Greutert,"Josh Stolberg,Pete Goldfinger","Horror,Mystery,Thriller",R,2023.0,118.0,6.7,56.0,13.0,53.608,106.226,10.01.2023,18.309,40.608
Gran Turismo,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",Neill Blomkamp,"Jason Hall,Zach Baylin,Alex Tse","Action,Adventure,Drama",PG-13,2023.0,134.0,7.2,60.0,60.0,44.429,121.68,08.27.2023,17.411,-15.570999999999998
Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,"Jane Goldman,Neil Gaiman,Matthew Vaughn","Adventure,Family,Fantasy",PG-13,2007.0,127.0,7.6,281.0,70.0,38.635,137.515,08.12.2007,9.17,-31.365
Book Club: The Next Chapter,Follows the new journey of four best friends as they take their book club to Italy for the fun girls trip they never had.,Bill Holderman,"Bill Holderman,Erin Simms",Comedy,PG-13,2023.0,107.0,5.6,5.5,20.0,17.556,28.987,05.14.2023,6.678,-2.443999999999999
Under the Skin,"A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",Jonathan Glazer,"Jonathan Glazer,Walter Campbell,Michel Faber","Drama,Horror,Mystery",R,2013.0,108.0,6.3,154.0,13.3,2.614,5.968,04.06.2014,0.133,-10.686
The Lobster,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,"Efthimis Filippou,Yorgos Lanthimos","Drama,Romance,Sci-Fi",R,2015.0,119.0,7.1,279.0,4.0,9.077,17.581,05.15.2016,0.19,5.077
Vicky Cristina Barcelona,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",Woody Allen,Woody Allen,"Comedy,Drama,Romance",PG-13,2008.0,96.0,7.1,266.0,15.5,23.217,96.409,08.17.2008,3.756,7.716999999999999
Bad Santa,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"John Requa,Glenn Ficarra","Comedy,Crime,Drama",R,2003.0,92.0,7.1,151.0,23.0,60.06,76.491,11.30.2003,12.5,37.06
After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop.,Martin Scorsese,Joseph Minion,"Comedy,Crime,Drama",R,1985.0,97.0,7.6,78.0,4.5,10.609,10.609,09.15.1985,0.045,6.109
Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,"Tom Ford,Austin Wright","Drama,Thriller",R,2016.0,116.0,7.5,298.0,22.5,10.663,30.312,11.20.2016,0.493,-11.837
The NeverEnding Story,A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,Wolfgang Petersen,"Wolfgang Petersen,Herman Weigel,Michael Ende","Adventure,Drama,Family",PG,1984.0,102.0,7.3,153.0,27.0,20.192,20.285,07.22.1984,4.326,-6.808
The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,"John L. Balderston,James Fenimore Cooper,Paul Perez","Action,Adventure,Drama",R,1992.0,112.0,7.7,183.0,40.0,75.506,75.506,09.27.1992,10.977,35.506
Ready or Not,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"Matt Bettinelli-Olpin,Tyler Gillett","Guy Busick,R. Christopher Murphy","Action,Comedy,Horror",R,2019.0,95.0,6.9,175.0,6.0,28.714,57.616,08.25.2019,8.016,22.714
Bones and All,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.,Luca Guadagnino,"David Kajganich,Camille DeAngelis","Drama,Horror,Romance",R,2022.0,131.0,6.8,53.0,16.0,7.835,15.135,11.27.2022,2.259,-8.165
Predestination,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","Peter Spierig,Michael Spierig","Michael Spierig,Peter Spierig,Robert A. Heinlein","Action,Drama,Sci-Fi",R,2014.0,97.0,7.4,297.0,5.1,0.068,4.942,01.11.2015,0.044,-5.032
Event Horizon,A rescue crew is tasked with investigating the mysterious reappearance of a spaceship that had been lost for seven years.,Paul W.S. Anderson,Philip Eisner,"Horror,Sci-Fi,Thriller",R,1997.0,96.0,6.6,193.0,60.0,26.673,26.674,08.17.1997,9.512,-33.327
Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,James Wan,Leigh Whannell,"Horror,Mystery,Thriller",PG-13,2010.0,103.0,6.8,333.0,1.5,54.009,100.106,04.03.2011,13.271,52.509
Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Frank Coraci,"Ivan Menchell,Clare Sera","Comedy,Romance",PG-13,2014.0,117.0,6.5,141.0,40.0,46.306,128.006,05.25.2014,14.284,6.305999999999997
Diary of a Wimpy Kid,"Greg Heffley is a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",Thor Freudenthal,"Gabe Sachs,Jackie Filgo,Jeff Filgo","Comedy,Drama,Family",PG,2010.0,94.0,6.2,57.0,15.0,64.004,76.197,03.21.2010,22.126,49.004000000000005
Bad Times at the El Royale,"1969. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",Drew Goddard,Drew Goddard,"Crime,Drama,Mystery",R,2018.0,141.0,7.1,161.0,32.0,17.839,31.883,10.14.2018,7.133,-14.161
Coraline,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,"Neil Gaiman,Henry Selick","Animation,Drama,Family",PG,2009.0,100.0,7.7,257.0,60.0,82.436,131.777,02.08.2009,16.85,22.436000000000007
Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland,"Jeff VanderMeer,Alex Garland","Adventure,Drama,Horror",R,2018.0,115.0,6.8,352.0,40.0,32.732,43.071,02.25.2018,11.072,-7.268000000000001
The Worst Person in the World,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",Joachim Trier,"Eskil Vogt,Joachim Trier","Comedy,Drama,Romance",R,2021.0,128.0,7.7,89.0,5.0,3.035,12.688,02.06.2022,0.138,-1.965
The Night Before,"On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.",Jonathan Levine,"Kyle Hunter,Ariel Shaffir,Jonathan Levine","Comedy,Fantasy",R,2015.0,101.0,6.4,80.0,25.0,43.047,52.396,11.22.2015,9.881,18.047
Cruel Intentions,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,Roger Kumble,"Roger Kumble,Choderlos de Laclos","Drama,Romance",R,1999.0,97.0,6.8,201.0,10.5,38.774,76.347,03.07.1999,13.021,28.274
White Chicks,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,Keenen Ivory Wayans,"Keenen Ivory Wayans,Marlon Wayans,Shawn Wayans","Comedy,Crime",PG-13,2004.0,109.0,5.8,159.0,37.0,70.832,113.101,06.27.2004,19.677,33.831999999999994
Flash Gordon,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,Mike Hodges,"Alex Raymond,Michael Allin,Lorenzo Semple Jr.","Action,Adventure,Sci-Fi",PG,1980.0,111.0,6.5,60.0,20.0,27.108,27.177,12.07.1980,3.934,7.1080000000000005
Secretary,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Steven Shainberg,"Erin Cressida Wilson,Steven Shainberg,Mary Gaitskill","Comedy,Drama,Romance",R,2002.0,107.0,6.9,96.0,4.0,4.06,9.305,09.22.2002,0.182,0.0599999999999996
9 Songs,"In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts.",Michael Winterbottom,"Michael Winterbottom(uncredited),Michael Winterbottom","Drama,Music,Romance",R,2004.0,71.0,4.7,24.0,1.0,0.067,1.59,07.24.2005,0.013,-0.933
The Count of Monte Cristo,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Kevin Reynolds,"Jay Wolpert,Alexandre Dumas","Action,Adventure,Drama",PG-13,2002.0,131.0,7.7,146.0,35.0,54.234,75.395,01.27.2002,11.376,19.234
The Blues Brothers,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",John Landis,"Dan Aykroyd,John Landis","Action,Adventure,Comedy",R,1980.0,133.0,7.9,210.0,27.5,57.23,115.23,06.22.1980,4.858,29.73
Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",Robert Zemeckis,"Michael Goldenberg,James V. Hart,Carl Sagan","Drama,Mystery,Sci-Fi",PG,1997.0,150.0,7.5,288.0,90.0,100.92,171.12,07.13.1997,20.585,10.920000000000002
Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,Luc Besson,Luc Besson,"Action,Thriller",R,2019.0,118.0,6.6,91.0,30.69,7.744,31.627,06.23.2019,3.601,-22.946
The Phantom of the Opera,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Joel Schumacher,"Joel Schumacher,Gaston Leroux,Andrew Lloyd Webber","Drama,Musical,Romance",PG-13,2004.0,143.0,7.2,129.0,70.0,51.294,154.674,12.26.2004,4.002,-18.706000000000003
It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.,David Robert Mitchell,David Robert Mitchell,"Horror,Mystery,Thriller",R,2014.0,100.0,6.8,263.0,1.0,14.674,21.947,03.15.2015,0.16,13.674
The Hitman's Bodyguard,"One of the world's top bodyguards gets a new client, a world class hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial alive and on time.",Patrick Hughes,Tom O'Connor,"Action,Comedy,Crime",R,2017.0,118.0,6.9,243.0,30.0,75.469,183.429,08.20.2017,21.385,45.469
The Change-Up,"Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies.",David Dobkin,"Jon Lucas,Scott Moore","Comedy,Fantasy",R,2011.0,112.0,6.3,193.0,52.0,37.081,75.45,08.07.2011,13.531,-14.918999999999995
The Mist,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,"Stephen King,Frank Darabont","Horror,Sci-Fi,Thriller",R,2007.0,126.0,7.1,332.0,18.0,25.595,57.47,11.25.2007,8.932,7.594999999999999
Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"Bong Joon Ho,Kwang-rim Kim,Sung-bo Shim","Crime,Drama,Mystery",R,2003.0,131.0,8.1,207.0,2.8,0.015,1.205,07.17.2005,0.004,-2.785
"Girl, Interrupted",Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,James Mangold,"James Mangold,Susanna Kaysen,Lisa Loomer","Biography,Drama",R,1999.0,127.0,7.3,205.0,40.0,28.913,48.35,12.26.1999,0.095,-11.087
Cape Fear,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",Martin Scorsese,"James R. Webb,Wesley Strick,John D. MacDonald","Crime,Thriller",R,1991.0,128.0,7.3,211.0,35.0,79.092,182.292,11.17.1991,10.261,44.092
Nomadland,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Chloé Zhao,"Jessica Bruder,Chloé Zhao",Drama,R,2020.0,107.0,7.3,177.0,5.0,3.7,39.458,02.21.2021,0.503,-1.2999999999999998
Nightmare Alley,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,Guillermo del Toro,"William Lindsay Gresham,Guillermo del Toro,Kim Morgan","Crime,Drama,Thriller",R,2021.0,150.0,7.0,160.0,60.0,11.338,39.629,12.19.2021,2.812,-48.662
Spaceballs,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,Mel Brooks,"Mel Brooks,Ronny Graham,Thomas Meehan","Adventure,Comedy,Sci-Fi",PG,1987.0,96.0,7.1,203.0,22.7,38.119,38.119,06.28.1987,6.614,15.419
Jennifer's Body,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,Diablo Cody,"Comedy,Horror",R,2009.0,102.0,5.5,147.0,16.0,16.205,31.556,09.20.2009,6.868,0.2049999999999983
Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"Valérie Beaugrand-Champagne,Denis Villeneuve,Wajdi Mouawad","Drama,Mystery,War",R,2010.0,131.0,8.3,192.0,6.8,2.071,6.798,04.24.2011,0.051,-4.728999999999999
The Man from U.N.C.L.E.,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",Guy Ritchie,"Jeff Kleeman,Guy Ritchie,Lionel Wigram","Action,Adventure,Comedy",PG-13,2015.0,116.0,7.2,327.0,75.0,45.445,110.045,08.16.2015,13.421,-29.555
Raising Arizona,"When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.","Ethan Coen,Ethan Coen(uncredited),Joel Coen","Ethan Coen,Joel Coen","Comedy,Crime",PG-13,1987.0,94.0,7.3,147.0,6.0,22.848,29.18,03.15.1987,0.036,16.848
Year One,"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.",Harold Ramis,"Lee Eisenberg,Gene Stupnitsky,Harold Ramis",Comedy,PG-13,2009.0,97.0,4.9,102.0,60.0,43.337,62.358,06.21.2009,19.61,-16.662999999999997
The Whole Nine Yards,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",Jonathan Lynn,Mitchell Kapner,"Comedy,Crime",R,2000.0,98.0,6.7,127.0,41.3,57.262,106.372,02.20.2000,13.731,15.962000000000003
The Giver,"In a seemingly perfect community without war, pain, suffering, differences, or choices, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",Phillip Noyce,"Lois Lowry,Robert B. Weide,Michael Mitnick","Drama,Romance,Sci-Fi",PG-13,2014.0,97.0,6.4,124.0,25.0,45.09,66.98,08.17.2014,12.305,20.090000000000003
The Crow,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,Alex Proyas,"James O'Barr,John Shirley,David J. Schow","Action,Crime,Drama",R,1994.0,102.0,7.5,195.0,23.0,50.693,50.695,05.15.1994,11.774,27.693
Alien³,"Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor.",David Fincher,"Dan O'Bannon,Vincent Ward,Ronald Shusett","Action,Horror,Sci-Fi",R,1992.0,114.0,6.4,314.0,50.0,55.474,159.814,05.24.1992,19.45,5.473999999999997
Vacation,"Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.","John Francis Daley,Jonathan Goldstein","John Francis Daley,Jonathan Goldstein,John Hughes","Adventure,Comedy",R,2015.0,99.0,6.1,120.0,31.0,58.884,107.228,08.02.2015,14.681,27.884
Thelma & Louise,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",Ridley Scott,Callie Khouri,"Adventure,Crime,Drama",R,1991.0,130.0,7.6,168.0,16.5,45.361,45.466,05.27.1991,6.101,28.861
Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",Leigh Whannell,Leigh Whannell,"Action,Sci-Fi,Thriller",R,2018.0,100.0,7.5,201.0,5.0,11.977,16.707,06.03.2018,4.671,6.977
Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",James Wan,"Akela Cooper,Ingrid Bisu,James Wan","Crime,Horror,Mystery",R,2021.0,111.0,6.2,105.0,40.0,13.392,34.892,09.12.2021,5.435,-26.608
Happy Gilmore,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,Dennis Dugan,"Adam Sandler,Tim Herlihy","Comedy,Sport",PG-13,1996.0,92.0,7.0,242.0,12.0,38.824,41.205,02.18.1996,8.514,26.824
The Untouchables,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",Brian De Palma,"David Mamet,Eliot Ness,Oscar Fraley","Crime,Drama,Thriller",R,1987.0,119.0,7.8,325.0,25.0,76.27,76.27,06.07.1987,10.023,51.27
The Muppet Christmas Carol,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Jerry Juhl,Charles Dickens","Comedy,Drama,Family",G,1992.0,85.0,7.7,66.0,12.0,27.382,33.274,12.13.1992,5.01,15.382
Mean Streets,A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,Martin Scorsese,"Mardik Martin,Martin Scorsese","Crime,Drama,Thriller",R,1973.0,112.0,7.2,117.0,0.5,0.033,0.059,03.15.1998,0.033,-0.4669999999999999
The Human Centipede (First Sequence),"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,Tom Six,Horror,R,2009.0,92.0,4.4,85.0,1.5,0.181,0.325,05.02.2010,0.012,-1.319
Sinister,"A controversial true crime writer finds a box of super 8 home movies in his new home, revealing that the murder case he is currently researching could be the work of an unknown serial killer whose legacy dates back to the 1960s.",Scott Derrickson,"Scott Derrickson,C. Robert Cargill","Horror,Mystery,Thriller",R,2012.0,110.0,6.8,274.0,3.0,48.087,82.515,10.14.2012,18.008,45.087
Sister Act 2: Back in the Habit,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,Bill Duke,"Jim Cruickshank,James Orr,Judi Ann Mason","Comedy,Family,Music",PG,1993.0,107.0,5.7,57.0,38.0,57.319,57.319,12.12.1993,7.569,19.319000000000003
Winter's Bone,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,Debra Granik,"Daniel Woodrell,Anne Rosellini,Debra Granik","Drama,Mystery",R,2010.0,100.0,7.1,148.0,2.0,6.532,13.797,06.13.2010,0.085,4.532
The Virgin Suicides,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",Sofia Coppola,"Jeffrey Eugenides,Sofia Coppola","Drama,Romance",R,1999.0,97.0,7.2,165.0,9.0,4.906,10.41,04.23.2000,0.235,-4.094
The Place Beyond the Pines,"A motorcycle stunt rider turns to robbing banks as a way to provide for his ex and their newborn, a decision that sets him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",Derek Cianfrance,"Ben Coccio,Darius Marder,Derek Cianfrance","Crime,Drama,Thriller",R,2012.0,140.0,7.3,285.0,15.0,21.404,47.147,03.31.2013,0.279,6.404
Best in Show,A behind-the-scenes look into the highly competitive and cut-throat world of dog shows through the eyes of a group of ruthless dog owners.,Christopher Guest,"Eugene Levy,Christopher Guest",Comedy,PG-13,2000.0,90.0,7.4,66.0,10.0,18.715,20.79,10.01.2000,0.413,8.715
Dredd,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",Pete Travis,"Carlos Ezquerra,John Wagner,Alex Garland","Action,Crime,Sci-Fi",R,2012.0,95.0,7.1,289.0,50.0,13.415,41.038,09.23.2012,6.278,-36.585
The Girl on the Train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Tate Taylor,"Paula Hawkins,Erin Cressida Wilson","Crime,Drama,Mystery",R,2016.0,112.0,6.5,196.0,45.0,75.395,173.186,10.09.2016,24.536,30.395
The Craft,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",Andrew Fleming,"Peter Filardi,Andrew Fleming","Drama,Fantasy,Horror",R,1996.0,101.0,6.4,105.0,15.0,24.82,24.82,05.05.1996,6.711,9.82
Mars Attacks!,Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,Tim Burton,"Len Brown,Wally Wood,Woody Gelman","Comedy,Sci-Fi",PG-13,1996.0,106.0,6.4,240.0,70.0,37.781,101.381,12.15.1996,9.384,-32.219
Wrath of Man,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,Guy Ritchie,"Éric Besnard,Guy Ritchie,Nicolas Boukhrief","Action,Crime,Thriller",R,2021.0,119.0,7.1,199.0,40.0,27.466,103.966,05.09.2021,8.309,-12.534
Colombiana,A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.,Olivier Megaton,"Robert Mark Kamen,Luc Besson","Action,Drama,Thriller",PG-13,2011.0,108.0,6.4,106.0,40.0,36.666,71.508,08.28.2011,10.408,-3.334000000000003
Closer,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,Mike Nichols,,"Drama,Romance",R,2004.0,104.0,7.2,232.0,27.0,33.988,115.505,12.05.2004,7.708,6.988
Scream 4,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",Wes Craven,,"Comedy,Horror,Mystery",R,2011.0,111.0,6.2,168.0,40.0,38.181,97.231,04.17.2011,18.692,-1.8190000000000024
A Bad Moms Christmas,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.","Jon Lucas,Scott Moore","Jon Lucas,Scott Moore",Comedy,R,2017.0,104.0,5.6,56.0,28.0,72.111,130.56,11.05.2017,16.759,44.111
Evil Dead,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Fede Alvarez,"Rodo Sayagues,Fede Alvarez,Sam Raimi",Horror,R,2013.0,91.0,6.5,194.0,17.0,54.24,97.543,04.07.2013,25.776,37.24
Instant Family,A couple find themselves in over their heads when they foster three children.,Sean Anders,"Sean Anders,John Morris","Comedy,Drama",PG-13,2018.0,118.0,7.3,116.0,48.0,67.363,120.99,11.18.2018,14.504,19.363
Pretty in Pink,A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.,Howard Deutch,John Hughes,"Comedy,Drama,Romance",PG-13,1986.0,97.0,6.7,87.0,9.0,40.472,40.479,03.02.1986,6.066,31.472
The Dictator,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,Larry Charles,"Sacha Baron Cohen,David Mandel,Alec Berg",Comedy,R,2012.0,83.0,6.4,328.0,65.0,59.65,179.38,05.20.2012,17.435,-5.350000000000001
EuroTrip,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.","Alec Berg,Alec Berg(uncredited),David Mandel(uncredited),Jeff Schaffer,David Mandel","Jeff Schaffer,David Mandel,Alec Berg",Comedy,R,2004.0,92.0,6.6,219.0,25.0,17.771,22.605,02.22.2004,6.711,-7.228999999999999
