Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Joel Coen,Ethan Coen(uncredited),Ethan Coen","Ethan Coen,Joel Coen,Homer","Adventure,Comedy,Crime",PG-13,2000.0,107.0,7.7,325.0,26.0,45.513,71.871,12.25.2000,0.195,19.513
Anna Karenina,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",Joe Wright,"Tom Stoppard,Lev Tolstoy","Drama,Romance",R,2012.0,129.0,6.6,105.0,40.6,12.816,68.929,11.18.2012,0.321,-27.784
Resident Evil: Welcome to Raccoon City,"Set in 1998, this origin story explores the secrets of the mysterious Spencer Mansion and the ill-fated Raccoon City.",Johannes Roberts,Johannes Roberts,"Action,Horror,Sci-Fi",R,2021.0,107.0,5.2,62.0,25.0,17.001,41.915,11.28.2021,5.319,-7.998999999999999
The Warriors,A street gang known as The Warriors must fight their way from the Bronx to their home turf on Coney Island when they are falsely accused of assassinating a respected gang leader.,Walter Hill,"David Shaber,Sol Yurick,Walter Hill","Action,Crime,Thriller",R,1979.0,93.0,7.5,108.0,4.0,22.49,22.49,02.11.1979,3.53,18.49
Jackie Brown,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.",Quentin Tarantino,"Quentin Tarantino,Elmore Leonard","Crime,Drama,Thriller",R,1997.0,154.0,7.5,366.0,12.0,39.673,39.675,12.28.1997,9.292,27.673
Maybe I Do,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage.",Michael Jacobs,Michael Jacobs,"Comedy,Romance",PG-13,2023.0,95.0,4.9,7.0,7.5,1.294,4.45,01.29.2023,0.546,-6.206
Adore,A pair of childhood friends and neighbors fall for each other's sons.,Anne Fontaine,"Anne Fontaine,Doris Lessing,Christopher Hampton","Drama,Romance",R,2013.0,112.0,6.2,36.0,16.0,0.319,1.576,09.08.2013,0.12,-15.681
Match Point,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,Woody Allen,"Drama,Romance,Thriller",R,2005.0,124.0,7.6,226.0,15.0,23.152,85.639,01.01.2006,0.399,8.152000000000001
Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,"Tom Stoppard,Terry Gilliam,Charles McKeown","Drama,Sci-Fi,Thriller",R,1985.0,132.0,7.9,209.0,15.0,9.929,9.95,12.22.1985,0.03,-5.071
Dogma,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,Kevin Smith,Kevin Smith,"Adventure,Comedy,Drama",R,1999.0,130.0,7.3,226.0,10.0,30.653,31.429,11.14.1999,8.67,20.653
The Adjustment Bureau,The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.,George Nolfi,"Philip K. Dick,George Nolfi","Crime,Mystery,Romance",PG-13,2011.0,106.0,7.0,267.0,50.2,62.496,127.869,03.06.2011,21.158,12.296
Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,Christopher Nolan,"Hillary Seitz,Erik Skjoldbjærg,Erik Skjoldbjærg(1997 screenplay),Nikolaj Frobenius(1997 screenplay),Nikolaj Frobenius","Drama,Mystery,Thriller",R,2002.0,118.0,7.2,313.0,46.0,67.356,113.759,05.26.2002,20.93,21.355999999999995
Corpse Bride,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.","Tim Burton,Mike Johnson","Carlos Grangel,John August,Tim Burton","Animation,Drama,Family",PG,2005.0,77.0,7.4,294.0,40.0,53.402,118.133,09.18.2005,0.388,13.402
Malice,"A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",Harold Becker,"Scott Frank,Aaron Sorkin,Jonas McCord","Crime,Mystery,Thriller",R,1993.0,107.0,6.5,27.0,20.0,46.405,46.405,10.03.1993,9.233,26.405
This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Rob Reiner,"Michael McKean,Harry Shearer,Christopher Guest","Comedy,Music",R,1984.0,82.0,7.9,145.0,2.5,4.736,4.736,03.04.1984,0.031,2.236
Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,"Ethan Coen,Matt Charman,Joel Coen","Drama,History,Thriller",PG-13,2015.0,142.0,7.6,324.0,40.0,72.314,165.478,10.18.2015,15.371,32.31399999999999
Little Shop of Horrors,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,Frank Oz,"Roger Corman,Charles B. Griffith,Howard Ashman","Comedy,Horror,Musical",PG-13,1986.0,94.0,7.1,85.0,25.0,39.032,39.033,12.21.1986,3.66,14.031999999999996
Jack Reacher: Never Go Back,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,Edward Zwick,"Edward Zwick,Richard Wenk,Marshall Herskovitz","Action,Crime,Drama",PG-13,2016.0,118.0,6.1,171.0,60.0,58.697,162.146,10.23.2016,22.872,-1.3029999999999973
