Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew,link,director_count,producer_count,writer_count,production_co_count,runtime_minutes,box_office_(gross_usa) in millions
460,The Nice Guys,2016,Holland March (Ryan Gosling) is a down-on-his-luck private eye in 1977 Los Angeles. Jackson Healy (Russell Crowe) is a hired enforcer who hurts people for a living. Fate turns them into unlikely partners after a young woman named Amelia (Margaret Qualley) mysteriously disappears. Healy and March soon learn the hard way that some dangerous people are also looking for Amelia. Their investigation takes them to dark places as anyone else who gets involved in the case seems to wind up dead.,91,79.0,The Nice Guys hearkens back to the buddy comedies of a bygone era while adding something extra courtesy of a knowing script and the irresistible chemistry of its leads.,317,"50,000+",Comedy,R,"comedy, action, mystery and thriller",English,Shane Black,Joel Silver,"Shane Black, Anthony Bagarozzi","May 20, 2016 wide",42591.0,$36.2M,1h 56m,"Silver Pictures, RatPac-Dune Entertainment, Waypoint Entertainment",,,,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Yaya DaCosta, Keith David, Beau Knapp, Lois Smith, Murielle Telio, Shane Black, Shane Black, Anthony Bagarozzi, Joel Silver, Ken Kao, Hal Sadoff, Anthony Bagarozzi, Alex Walton, Michael J. Malone, Philippe Rousselot",http://www.rottentomatoes.com/m/the_nice_guys,1,1,2,3,116,36.2
464,Fighting With My Family,2019,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",93,86.0,"Much like the sport it celebrates, Fighting with My Family muscles past clich̩s with a potent blend of energy and committed acting that should leave audiences cheering.",241,"2,500+",Comedy,PG-13,"comedy, drama, biography",English,Stephen Merchant,"Kevin Misher, Dwayne Johnson, Dany Garcia, Stephen Merchant, Michael J. Luisi",Stephen Merchant,"Feb 22, 2019 wide",43585.0,$23.0M,1h 47m,"WWE Studios, Misher Films, Seven Bucks Productions",,Scope (2.35:1),,"Florence Pugh, Lena Headey, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson, Hannah Rae, Stephen Merchant, Stephen Merchant, Stephen Merchant, Kevin Misher, Dwayne Johnson, Dany Garcia, Stephen Merchant, Michael J. Luisi, Andy Berman, Hiram Garcia, Daniel Battsek",http://www.rottentomatoes.com/m/fighting_with_my_family,1,5,1,3,107,23.0
467,Moonrise Kingdom,2012,"The year is 1965, and the residents of New Penzance, an island off the coast of New England, inhabit a community that seems untouched by some of the bad things going on in the rest of the world. Twelve-year-olds Sam (Jared Gilman) and Suzy (Kara Hayward) have fallen in love and decide to run away. But a violent storm is approaching the island, forcing a group of quirky adults (Bruce Willis, Edward Norton, Bill Murray) to mobilize a search party and find the youths before calamity strikes.",93,86.0,"Warm, whimsical, and poignant, the immaculately framed and beautifully acted Moonrise Kingdom presents writer/director Wes Anderson at his idiosyncratic best.",263,"100,000+",Comedy,PG-13,"comedy, drama, romance",English,Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson","Wes Anderson, Roman Coppola","Jun 29, 2012 wide",42348.0,$45.5M,1h 34m,"Indian Paintbrush, American Empirical Pictures",,,,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand, Tilda Swinton, Jared Gilman, Kara Hayward, Bob Balaban, Lucas Hedges, Charlie Kilgore, Wes Anderson, Wes Anderson, Roman Coppola, Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson, Sam Hoffman, Mark Roybal, Robert Yeoman",http://www.rottentomatoes.com/m/moonrise_kingdom,1,4,2,2,94,45.5
473,Don't Think Twice,2016,"Turmoil strikes a New York improv troupe (Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia) when one member leaves to star in a television show.",98,69.0,Don't Think Twice offers a bittersweet look at the comedian's life that's as genuinely moving as it is laugh-out-loud funny -- and a brilliant calling card for writer-director Mike Birbiglia.,136,"10,000+",Comedy,R,"comedy, drama",English,Mike Birbiglia,"Ira Glass, Miranda Bailey, Amanda Marshall",Mike Birbiglia,"Jul 22, 2016 limited",42696.0,$4.4M,1h 28m,"Cold Iron Pictures, Secret Public Productions",,,,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Tami Sagher, Chris Gethard, Richard Masur, Sondra James, Richard Kline, Mike Birbiglia, Mike Birbiglia, Ira Glass, Miranda Bailey, Amanda Marshall, Andy Bohn, Geoffrey Richman",http://www.rottentomatoes.com/m/dont_think_twice,1,3,1,2,88,4.4
483,"Monsters, Inc.",2001,"Monsters Incorporated is the largest scare factory in the monster world, and James P. Sullivan (John Goodman) is one of its top scarers. Sullivan is a huge, intimidating monster with blue fur, large purple spots and horns. His scare assistant, best friend and roommate is Mike Wazowski (Billy Crystal), a green, opinionated, feisty little one-eyed monster. Visiting from the human world is Boo (Mary Gibbs), a tiny girl who goes where no human has ever gone before.",96,90.0,"Clever, funny, and delightful to look at, Monsters, Inc. delivers another resounding example of how Pixar elevated the bar for modern all-ages animation.",197,"250,000+",Comedy,G,"comedy, fantasy, animation, kids and family, adventure",English,Pete Docter,Darla K. Anderson,,"Nov 2, 2001 wide",41567.0,$494.0K,1h 32m,"Walt Disney Productions, Pixar Animation Studios","Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),Pixar,"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi, James Coburn, Jennifer Tilly, Bob Peterson, John Ratzenberger, Frank Oz, Steve Susskind, Pete Docter, David Silverman, Lee Unkrich, Darla K. Anderson, John Lasseter, Andrew Stanton, Kori Rae, Pete Docter, Jill Culton, Jeff Pidgeon",http://www.rottentomatoes.com/m/monsters_inc,1,1,1,2,92,0.494
484,The Player,1992,"Certain that the anonymous threats he's been receiving are the work of David Kahane (Vincent D'Onofrio), producer Griffin Mill (Tim Robbins) tries to fix things over cocktails. Instead, Griffin ends up murdering the screenwriter and courting the dead man's girlfriend (Greta Scacchi). As police investigate, Griffin concentrates on a prestigious film that might reinvigorate his career. But he soon learns that David's demise hasn't been forgotten by everyone in Hollywood.",98,84.0,"Bitingly cynical without succumbing to bitterness, The Player is one of the all-time great Hollywood satires -- and an ensemble-driven highlight of the Altman oeuvre.",65,"10,000+",Comedy,R,comedy,English,Robert Altman,"Michael Tolkin, David Brown, Nick Wechsler",Michael Tolkin,,42592.0,$21.7M,2h 3m,Avenue Pictures Productions,Surround,,,"Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg, Peter Gallagher, Brion James, Cynthia Stevenson, Vincent D'Onofrio, Dean Stockwell, Richard E. Grant, Robert Altman, Cary Brokaw, Nick Wechsler, Thomas Newman, Maysie Hoy, Geraldine Peroni",http://www.rottentomatoes.com/m/player,1,3,1,1,123,21.7
486,The Truman Show,1998,"He doesn't know it, but everything in Truman Burbank's (Jim Carrey) life is part of a massive TV set. Executive producer Christof (Ed Harris) orchestrates ""The Truman Show,"" a live broadcast of Truman's every move captured by hidden cameras. Cristof tries to control Truman's mind, even removing his true love, Sylvia (Natascha McElhone), from the show and replacing her with Meryl (Laura Linney). As Truman gradually discovers the truth, however, he must decide whether to act on it.",95,89.0,"A funny, tender, and thought-provoking film, The Truman Show is all the more noteworthy for its remarkably prescient vision of runaway celebrity culture and a nation with an insatiable thirst for the private details of ordinary lives.",132,"250,000+",Comedy,PG,"comedy, drama",English,Peter Weir,"Scott Rudin, Andrew Niccol, Edward S. Feldman, Adam Schroeder",Andrew Niccol,,41487.0,$125.6M,1h 42m,"Paramount Pictures, Scott Rudin Productions",Surround,,,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Ed Harris, Brian Delate, Una Damon, Paul Giamatti, Philip Baker Hall, Peter Weir, Andrew Niccol, Lynn Pleshette, Scott Rudin, Andrew Niccol, Edward S. Feldman, Adam Schroeder",http://www.rottentomatoes.com/m/truman_show,1,4,1,2,102,125.6
487,Big,1988,"After a wish turns 12-year-old Josh Baskin (David Moscow) into a 30-year-old man (Tom Hanks), he heads to New York City and gets a low-level job at MacMillen Toy Company. A chance encounter with the owner (Robert Loggia) of the company leads to a promotion testing new toys. Soon a fellow employee, Susan Lawrence (Elizabeth Perkins), takes a romantic interest in Josh. However, the pressure of living as an adult begins to overwhelm him, and he longs to return to his simple, former life as a boy.",97,82.0,"Refreshingly sweet and undeniably funny, Big is a showcase for Tom Hanks, who dives into his role and infuses it with charm and surprising poignancy.",74,"250,000+",Comedy,PG,"kids and family, comedy, fantasy",English,Penny Marshall,"James L. Brooks, Robert Greenhut",,,41964.0,$113.5M,1h 44m,"Gracie Films, 20th Century Fox",Surround,,,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard, Jared Rushton, David Moscow, Jon Lovitz, Mercedes Ruehl, Tracy Reiner, Penny Marshall, James L. Brooks, Robert Greenhut, Howard Shore, Barry Sonnenfeld, Barry Malkin, Paula Herold, Juliet Taylor, Santo Loquasto, Speed Hopkins",http://www.rottentomatoes.com/m/big,1,2,1,2,104,113.5
489,Back to the Future,1985,"In this 1980s sci-fi classic, small-town California teen Marty McFly (Michael J. Fox) is thrown back into the '50s when an experiment by his eccentric scientist friend Doc Brown (Christopher Lloyd) goes awry. Traveling through time in a modified DeLorean car, Marty encounters young versions of his parents (Crispin Glover, Lea Thompson), and must make sure that they fall in love or he'll cease to exist. Even more dauntingly, Marty has to return to his own time and save the life of Doc Brown.",96,94.0,"Inventive, funny, and breathlessly constructed, Back to the Future is a rousing time-travel adventure with an unforgettable spirit.",84,"250,000+",Comedy,PG,"sci fi, comedy, adventure, fantasy",English,Robert Zemeckis,"Bob Gale, Neil Canton",,,41494.0,$247.0K,1h 56m,"Universal Pictures, Amblin Entertainment",Surround,,,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Wendie Jo Sperber, Marc McClure, Claudia Wells, Thomas F. Wilson, James Tolkan, Casey Siemaszko, Robert Zemeckis, Kathleen Kennedy, Frank Marshall, Steven Spielberg, Bob Gale, Neil Canton, Alan Silvestri, Johnny Colla, Dean Cundey",http://www.rottentomatoes.com/m/back_to_the_future,1,2,1,2,116,0.247
490,Enough Said,2013,"Eva (Julia Louis-Dreyfus), a divorced single parent, seems generally happy but dreads her daughter's departure for college. Unexpectedly, Eva begins a romance with Albert (James Gandolfini), a nice man with whom she has much in common. Meanwhile, Eva finds a new friend in Marianne (Catherine Keener), a poet who is just about perfect except for one thing: She constantly denigrates her ex-husband -- Albert. The more Eva hears, the more she doubts her relationship with him.",95,75.0,"Wryly charming, impeccably acted, and ultimately quite bittersweet, Enough Said is a grown-up movie in the best possible way.",191,"25,000+",Comedy,PG-13,romance,English,Nicole Holofcener,"Anthony Bregman, Stefanie Azpiazu",Nicole Holofcener,"Sep 18, 2013 limited",42457.0,$17.5M,1h 33m,Likely Story,"Datasat, SDDS, Dolby Stereo",,,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener, Toni Collette, Tavi Gevinson, Ben Falcone, Tracey Fairaway, Eve Hewson, Michaela Watkins, Phillip Brock, Nicole Holofcener, Nicole Holofcener, Anthony Bregman, Stefanie Azpiazu, Chrisann Verges, Keith Cunningham, Robert Frazen, Marcelo Zarvos",http://www.rottentomatoes.com/m/enough_said_2013,1,2,1,1,93,17.5
